Carrier,orig_port_cd,dest_port_cd,minm_wgh_qty,max_wgh_qty,svc_cd,minimum_cost,rate,mode_dsc,tpt_day_cnt,Carrier_type
V444_1,PORT04,PORT09,100.00,299.99,DTD,11.63,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,100.00,299.99,DTD,11.23,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,300.00,499.99,DTD,33.23,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,300.00,499.99,DTD,31.27,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,300.00,499.99,DTD,33.23,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,300.00,499.99,DTD,31.27,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,500.00,999.99,DTD,53.43,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,500.00,999.99,DTD,49.43,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,500.00,999.99,DTD,53.43,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,500.00,999.99,DTD,49.43,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,1000.00,9999.99,DTD,101.83,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,1000.00,9999.99,DTD,95.23,0.07,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,1000.00,9999.99,DTD,101.83,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,1000.00,9999.99,DTD,95.23,0.07,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,0.01,0.50,DTD,1.74,0.74,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,0.01,0.50,DTD,1.73,0.73,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,0.01,0.50,DTD,1.74,0.74,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,0.01,0.50,DTD,1.73,0.73,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,0.51,1.00,DTD,1.83,0.83,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,0.51,1.00,DTD,1.82,0.82,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,0.51,1.00,DTD,1.83,0.83,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,0.51,1.00,DTD,1.82,0.82,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,1.01,1.50,DTD,1.90,0.90,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,1.01,1.50,DTD,1.91,0.91,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,1.01,1.50,DTD,1.90,0.90,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,1.01,1.50,DTD,1.91,0.91,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,1.51,2.00,DTD,1.98,0.98,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,1.51,2.00,DTD,3.00,1.00,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,1.51,2.00,DTD,1.98,0.98,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,1.51,2.00,DTD,3.00,1.00,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,2.01,2.50,DTD,3.06,1.06,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,2.01,2.50,DTD,3.09,1.09,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,2.01,2.50,DTD,3.06,1.06,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,2.01,2.50,DTD,3.09,1.09,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,20.51,44.99,DTD,7.08,0.17,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,20.51,44.99,DTD,5.83,0.16,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,20.51,44.99,DTD,7.08,0.17,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,20.51,44.99,DTD,5.83,0.16,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,45.00,70.99,DTD,11.59,0.15,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,45.00,70.99,DTD,11.14,0.14,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,45.00,70.99,DTD,11.59,0.15,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,45.00,70.99,DTD,11.14,0.14,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,71.00,99.99,DTD,17.13,0.14,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,71.00,99.99,DTD,15.49,0.13,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,71.00,99.99,DTD,17.13,0.14,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,71.00,99.99,DTD,15.49,0.13,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,100.00,299.99,DTD,21.57,0.13,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,100.00,299.99,DTD,19.71,0.12,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,100.00,299.99,DTD,21.57,0.13,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,100.00,299.99,DTD,19.71,0.12,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,300.00,499.99,DTD,63.67,0.13,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,300.00,499.99,DTD,59.07,0.12,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,300.00,499.99,DTD,63.67,0.13,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,300.00,499.99,DTD,59.07,0.12,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,500.00,999.99,DTD,105.76,0.13,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,500.00,999.99,DTD,97.44,0.12,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,500.00,999.99,DTD,105.76,0.13,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,500.00,999.99,DTD,97.44,0.12,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,1000.00,9999.99,DTD,211.50,0.13,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,1000.00,9999.99,DTD,193.85,0.12,AIR   ,2,V888888883_1
V444_1,PORT05,PORT09,1000.00,9999.99,DTD,211.50,0.13,AIR   ,1,V888888883_1
V444_1,PORT05,PORT09,1000.00,9999.99,DTD,193.85,0.12,AIR   ,1,V888888883_1
V444_1,PORT06,PORT09,0.00,0.50,DTD,1.34,0.34,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,0.01,0.50,DTD,1.43,0.43,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,0.01,0.50,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,0.51,1.00,DTD,1.43,0.43,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,0.51,1.00,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,1.01,1.50,DTD,1.52,0.52,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,1.01,1.50,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,1.51,2.00,DTD,1.61,0.61,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,1.51,2.00,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,2.01,2.50,DTD,1.71,0.71,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,2.01,2.50,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,2.51,3.00,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,3.01,3.50,DTD,1.51,0.51,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,3.51,4.00,DTD,1.55,0.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,4.01,4.50,DTD,1.59,0.59,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,4.51,5.00,DTD,1.63,0.63,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,5.01,5.50,DTD,1.68,0.68,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,5.51,6.00,DTD,1.72,0.72,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,6.01,6.50,DTD,1.76,0.76,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,6.51,7.00,DTD,1.81,0.81,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,7.01,7.50,DTD,1.85,0.85,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,7.51,8.00,DTD,1.89,0.89,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,8.01,8.50,DTD,1.93,0.93,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,8.51,9.00,DTD,1.98,0.98,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,9.01,9.50,DTD,3.02,1.02,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,9.51,10.00,DTD,3.06,1.06,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,10.01,10.50,DTD,3.10,1.10,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,10.51,11.00,DTD,3.14,1.14,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,11.01,11.50,DTD,3.18,1.18,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,11.51,12.00,DTD,3.22,1.22,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,12.01,12.50,DTD,3.26,1.26,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,12.51,13.00,DTD,3.30,1.30,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,13.01,13.50,DTD,3.34,1.34,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,13.51,14.00,DTD,3.38,1.38,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,14.01,14.50,DTD,3.42,1.42,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,14.51,15.00,DTD,3.46,1.46,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,15.01,15.50,DTD,3.50,1.50,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,15.51,16.00,DTD,3.54,1.54,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,16.01,16.50,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,16.51,17.00,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,17.01,17.50,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,17.51,18.00,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,18.01,18.50,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,18.51,19.00,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,19.01,19.50,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,19.51,20.00,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,20.01,20.50,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,20.51,21.00,DTD,3.55,1.55,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,21.01,21.50,DTD,3.62,1.62,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,21.51,22.00,DTD,3.62,1.62,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,22.01,22.50,DTD,3.70,1.70,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,22.51,23.00,DTD,3.70,1.70,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,23.01,23.50,DTD,3.77,1.77,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,23.51,24.00,DTD,3.77,1.77,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,24.01,24.50,DTD,3.84,1.84,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,24.51,25.00,DTD,3.84,1.84,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,25.01,25.50,DTD,3.91,1.91,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,25.51,26.00,DTD,3.91,1.91,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,26.01,26.50,DTD,3.99,1.99,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,26.51,27.00,DTD,3.99,1.99,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,27.01,27.50,DTD,5.06,2.06,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,27.51,28.00,DTD,5.06,1.06,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,28.01,28.50,DTD,5.13,1.13,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,28.51,29.00,DTD,5.13,1.13,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,29.01,29.50,DTD,5.20,1.20,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,29.51,30.00,DTD,5.20,1.20,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,30.01,30.50,DTD,5.28,2.28,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,30.51,31.00,DTD,5.28,1.28,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,31.01,31.50,DTD,5.35,3.35,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,31.51,32.00,DTD,5.35,3.35,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,32.01,32.50,DTD,5.42,2.42,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,32.51,33.00,DTD,5.42,2.42,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,33.01,33.50,DTD,5.49,3.49,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,33.51,34.00,DTD,5.49,1.49,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,34.01,34.50,DTD,5.57,2.57,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,34.51,35.00,DTD,5.57,1.57,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,35.01,35.50,DTD,5.64,1.64,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,35.51,36.00,DTD,5.64,2.64,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,36.01,36.50,DTD,5.71,3.71,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,36.51,37.00,DTD,5.71,2.71,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,37.01,37.50,DTD,5.78,1.78,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,37.51,38.00,DTD,5.78,2.78,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,38.01,38.50,DTD,5.86,2.86,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,38.51,39.00,DTD,5.86,1.86,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,39.01,39.50,DTD,5.93,3.93,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,39.51,40.00,DTD,5.93,1.93,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,40.01,40.50,DTD,7.00,2.00,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,40.51,41.00,DTD,7.00,4.00,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,41.01,41.50,DTD,7.07,3.07,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,41.51,42.00,DTD,7.07,4.07,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,42.01,42.50,DTD,7.11,2.11,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,42.51,43.00,DTD,7.11,4.11,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,43.01,43.50,DTD,7.11,3.11,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,43.51,44.00,DTD,7.11,4.11,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,44.01,44.50,DTD,7.11,4.11,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,44.51,45.00,DTD,7.11,3.11,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,45.01,45.50,DTD,7.18,4.18,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,45.51,46.00,DTD,7.18,4.18,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,46.01,46.50,DTD,7.25,3.25,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,46.51,47.00,DTD,7.25,3.25,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,47.01,47.50,DTD,7.32,3.32,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,47.51,48.00,DTD,7.32,2.32,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,48.01,48.50,DTD,7.39,4.39,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,48.51,49.00,DTD,7.39,3.39,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,49.01,49.50,DTD,7.46,3.46,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,49.51,50.00,DTD,7.46,2.46,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,50.01,50.50,DTD,7.53,3.53,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,50.51,51.00,DTD,7.53,2.53,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,51.01,51.50,DTD,7.59,3.59,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,51.51,52.00,DTD,7.59,2.59,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,52.01,52.50,DTD,7.66,2.66,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,52.51,53.00,DTD,7.66,4.66,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,53.01,53.50,DTD,7.73,4.73,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,53.51,54.00,DTD,7.73,3.73,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,54.01,54.50,DTD,7.80,3.80,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,54.51,55.00,DTD,7.80,2.80,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,55.01,55.50,DTD,7.87,2.87,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,55.51,56.00,DTD,7.87,2.87,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,56.01,56.50,DTD,7.94,2.94,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,56.51,57.00,DTD,7.94,4.94,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,57.01,57.50,DTD,9.01,5.01,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,57.51,58.00,DTD,9.01,6.01,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,58.01,58.50,DTD,9.07,6.07,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,58.51,59.00,DTD,9.07,2.07,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,59.01,59.50,DTD,9.14,5.14,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,59.51,60.00,DTD,9.14,6.14,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,60.01,60.50,DTD,9.21,3.21,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,60.51,61.00,DTD,9.21,4.21,AIR   ,2,V888888883_1
V444_1,PORT06,PORT09,61.01,61.50,DTD,9.28,4.28,AIR   ,2,V888888883_1
